Master_Collection,Department_Number,Vendor_Number,VendorColor,Color_Code,Total_Inventory,Fabric,Color,Type,Factory Status,Factory Continent
SCULPTURAL,5700,1350,1350BBBK,BBBK,242,PERFORMANCE BOUCLE,BLACK,FABRIC,Active,EUROPE
BURANO,5700,1350,1350BBBK,BBBK,242,PERFORMANCE BOUCLE,BLACK,FABRIC,Active,EUROPE
LUGANO,5700,1350,1350BBBK,BBBK,242,PERFORMANCE BOUCLE,BLACK,FABRIC,Active,EUROPE
COSTERA,5700,1350,1350BBBK,BBBK,242,PERFORMANCE BOUCLE,BLACK,FABRIC,Active,EUROPE
MIRA,5700,1350,1350BBBK,BBBK,242,PERFORMANCE BOUCLE,BLACK,FABRIC,Active,EUROPE
MONZA,5700,1350,1350BBBK,BBBK,242,PERFORMANCE BOUCLE,BLACK,FABRIC,Active,EUROPE
SCULPTURAL,5700,1350,1350BBDV,BBDV,5247,PERFORMANCE BOUCLE,DOVE,FABRIC,Active,EUROPE
BURANO,5700,1350,1350BBDV,BBDV,5247,PERFORMANCE BOUCLE,DOVE,FABRIC,Active,EUROPE
LUGANO,5700,1350,1350BBDV,BBDV,5247,PERFORMANCE BOUCLE,DOVE,FABRIC,Active,EUROPE
COSTERA,5700,1350,1350BBDV,BBDV,5247,PERFORMANCE BOUCLE,DOVE,FABRIC,Active,EUROPE
MIRA,5700,1350,1350BBDV,BBDV,5247,PERFORMANCE BOUCLE,DOVE,FABRIC,Active,EUROPE
MONZA,5700,1350,1350BBDV,BBDV,5247,PERFORMANCE BOUCLE,DOVE,FABRIC,Active,EUROPE
SCULPTURAL,5700,1350,1350BBFG,BBFG,614,PERFORMANCE BOUCLE,FOG,FABRIC,Active,EUROPE
BURANO,5700,1350,1350BBFG,BBFG,614,PERFORMANCE BOUCLE,FOG,FABRIC,Active,EUROPE
LUGANO,5700,1350,1350BBFG,BBFG,614,PERFORMANCE BOUCLE,FOG,FABRIC,Active,EUROPE
COSTERA,5700,1350,1350BBFG,BBFG,614,PERFORMANCE BOUCLE,FOG,FABRIC,Active,EUROPE
MIRA,5700,1350,1350BBFG,BBFG,614,PERFORMANCE BOUCLE,FOG,FABRIC,Active,EUROPE
MONZA,5700,1350,1350BBFG,BBFG,614,PERFORMANCE BOUCLE,FOG,FABRIC,Active,EUROPE
SCULPTURAL,5700,1350,1350BBLA,BBLA,2460,PERFORMANCE BOUCLE,LATTE,FABRIC,Active,EUROPE
BURANO,5700,1350,1350BBLA,BBLA,2460,PERFORMANCE BOUCLE,LATTE,FABRIC,Active,EUROPE
LUGANO,5700,1350,1350BBLA,BBLA,2460,PERFORMANCE BOUCLE,LATTE,FABRIC,Active,EUROPE
COSTERA,5700,1350,1350BBLA,BBLA,2460,PERFORMANCE BOUCLE,LATTE,FABRIC,Active,EUROPE
MIRA,5700,1350,1350BBLA,BBLA,2460,PERFORMANCE BOUCLE,LATTE,FABRIC,Active,EUROPE
MONZA,5700,1350,1350BBLA,BBLA,2460,PERFORMANCE BOUCLE,LATTE,FABRIC,Active,EUROPE
SCULPTURAL,5700,1350,1350BBLG,BBLG,2125,PERFORMANCE BOUCLE,LIGHT GREEN,FABRIC,Active,EUROPE
BURANO,5700,1350,1350BBLG,BBLG,2125,PERFORMANCE BOUCLE,LIGHT GREEN,FABRIC,Active,EUROPE
LUGANO,5700,1350,1350BBLG,BBLG,2125,PERFORMANCE BOUCLE,LIGHT GREEN,FABRIC,Active,EUROPE
COSTERA,5700,1350,1350BBLG,BBLG,2125,PERFORMANCE BOUCLE,LIGHT GREEN,FABRIC,Active,EUROPE
MIRA,5700,1350,1350BBLG,BBLG,2125,PERFORMANCE BOUCLE,LIGHT GREEN,FABRIC,Active,EUROPE
MONZA,5700,1350,1350BBLG,BBLG,2125,PERFORMANCE BOUCLE,LIGHT GREEN,FABRIC,Active,EUROPE
SCULPTURAL,5700,1350,1350BBLG,BBLG,2125,PERFORMANCE BOUCLE,LIGHT GREEN,FABRIC,Active,EUROPE
BURANO,5700,1350,1350BBLG,BBLG,2125,PERFORMANCE BOUCLE,LIGHT GREEN,FABRIC,Active,EUROPE
LUGANO,5700,1350,1350BBLG,BBLG,2125,PERFORMANCE BOUCLE,LIGHT GREEN,FABRIC,Active,EUROPE
COSTERA,5700,1350,1350BBLG,BBLG,2125,PERFORMANCE BOUCLE,LIGHT GREEN,FABRIC,Active,EUROPE
MIRA,5700,1350,1350BBLG,BBLG,2125,PERFORMANCE BOUCLE,LIGHT GREEN,FABRIC,Active,EUROPE
MONZA,5700,1350,1350BBLG,BBLG,2125,PERFORMANCE BOUCLE,LIGHT GREEN,FABRIC,Active,EUROPE
SCULPTURAL,5700,1350,1350BBMC,BBMC,1652,PERFORMANCE BOUCLE,MOCHACCINO,FABRIC,Active,EUROPE
BURANO,5700,1350,1350BBMC,BBMC,1652,PERFORMANCE BOUCLE,MOCHACCINO,FABRIC,Active,EUROPE
LUGANO,5700,1350,1350BBMC,BBMC,1652,PERFORMANCE BOUCLE,MOCHACCINO,FABRIC,Active,EUROPE
COSTERA,5700,1350,1350BBMC,BBMC,1652,PERFORMANCE BOUCLE,MOCHACCINO,FABRIC,Active,EUROPE
MIRA,5700,1350,1350BBMC,BBMC,1652,PERFORMANCE BOUCLE,MOCHACCINO,FABRIC,Active,EUROPE
MONZA,5700,1350,1350BBMC,BBMC,1652,PERFORMANCE BOUCLE,MOCHACCINO,FABRIC,Active,EUROPE
SCULPTURAL,5700,1350,1350BBMG,BBMG,2657,PERFORMANCE BOUCLE,MEDIUM GREEN,FABRIC,Active,EUROPE
BURANO,5700,1350,1350BBMG,BBMG,2657,PERFORMANCE BOUCLE,MEDIUM GREEN,FABRIC,Active,EUROPE
LUGANO,5700,1350,1350BBMG,BBMG,2657,PERFORMANCE BOUCLE,MEDIUM GREEN,FABRIC,Active,EUROPE
COSTERA,5700,1350,1350BBMG,BBMG,2657,PERFORMANCE BOUCLE,MEDIUM GREEN,FABRIC,Active,EUROPE
MIRA,5700,1350,1350BBMG,BBMG,2657,PERFORMANCE BOUCLE,MEDIUM GREEN,FABRIC,Active,EUROPE
MONZA,5700,1350,1350BBMG,BBMG,2657,PERFORMANCE BOUCLE,MEDIUM GREEN,FABRIC,Active,EUROPE
SCULPTURAL,5700,1350,1350BBNA,BBNA,6108,PERFORMANCE BOUCLE,NATURAL,FABRIC,Active,EUROPE
BURANO,5700,1350,1350BBNA,BBNA,6108,PERFORMANCE BOUCLE,NATURAL,FABRIC,Active,EUROPE
LUGANO,5700,1350,1350BBNA,BBNA,6108,PERFORMANCE BOUCLE,NATURAL,FABRIC,Active,EUROPE
COSTERA,5700,1350,1350BBNA,BBNA,6108,PERFORMANCE BOUCLE,NATURAL,FABRIC,Active,EUROPE
MIRA,5700,1350,1350BBNA,BBNA,6108,PERFORMANCE BOUCLE,NATURAL,FABRIC,Active,EUROPE
MONZA,5700,1350,1350BBNA,BBNA,6108,PERFORMANCE BOUCLE,NATURAL,FABRIC,Active,EUROPE
SCULPTURAL,5700,1350,1350BBSN,BBSN,6907,PERFORMANCE BOUCLE,SAND,FABRIC,Active,EUROPE
BURANO,5700,1350,1350BBSN,BBSN,6907,PERFORMANCE BOUCLE,SAND,FABRIC,Active,EUROPE
LUGANO,5700,1350,1350BBSN,BBSN,6907,PERFORMANCE BOUCLE,SAND,FABRIC,Active,EUROPE
COSTERA,5700,1350,1350BBSN,BBSN,6907,PERFORMANCE BOUCLE,SAND,FABRIC,Active,EUROPE
MIRA,5700,1350,1350BBSN,BBSN,6907,PERFORMANCE BOUCLE,SAND,FABRIC,Active,EUROPE
MONZA,5700,1350,1350BBSN,BBSN,6907,PERFORMANCE BOUCLE,SAND,FABRIC,Active,EUROPE
SCULPTURAL,5700,1350,1350BBSN,BBSN,6907,PERFORMANCE BOUCLE,SAND,FABRIC,Active,EUROPE
BURANO,5700,1350,1350BBSN,BBSN,6907,PERFORMANCE BOUCLE,SAND,FABRIC,Active,EUROPE
LUGANO,5700,1350,1350BBSN,BBSN,6907,PERFORMANCE BOUCLE,SAND,FABRIC,Active,EUROPE
COSTERA,5700,1350,1350BBSN,BBSN,6907,PERFORMANCE BOUCLE,SAND,FABRIC,Active,EUROPE
MIRA,5700,1350,1350BBSN,BBSN,6907,PERFORMANCE BOUCLE,SAND,FABRIC,Active,EUROPE
MONZA,5700,1350,1350BBSN,BBSN,6907,PERFORMANCE BOUCLE,SAND,FABRIC,Active,EUROPE
SCULPTURAL,5700,1350,1350BCCG,BCCG,195,ITALIAN BOUCLE,CARBON,FABRIC,DISC,EUROPE
BURANO,5700,1350,1350BCCG,BCCG,195,ITALIAN BOUCLE,CARBON,FABRIC,DISC,EUROPE
LUGANO,5700,1350,1350BCCG,BCCG,195,ITALIAN BOUCLE,CARBON,FABRIC,DISC,EUROPE
COSTERA,5700,1350,1350BCCG,BCCG,195,ITALIAN BOUCLE,CARBON,FABRIC,DISC,EUROPE
MIRA,5700,1350,1350BCCG,BCCG,195,ITALIAN BOUCLE,CARBON,FABRIC,DISC,EUROPE
MONZA,5700,1350,1350BCCG,BCCG,195,ITALIAN BOUCLE,CARBON,FABRIC,DISC,EUROPE
SCULPTURAL,5700,1350,1350BKPL,BKPL,28,BELGIAN LINEN BASKET WEAVE,BLACK,FABRIC,DISC,EUROPE
BURANO,5700,1350,1350BKPL,BKPL,28,BELGIAN LINEN BASKET WEAVE,BLACK,FABRIC,DISC,EUROPE
LUGANO,5700,1350,1350BKPL,BKPL,28,BELGIAN LINEN BASKET WEAVE,BLACK,FABRIC,DISC,EUROPE
COSTERA,5700,1350,1350BKPL,BKPL,28,BELGIAN LINEN BASKET WEAVE,BLACK,FABRIC,DISC,EUROPE
MIRA,5700,1350,1350BKPL,BKPL,28,BELGIAN LINEN BASKET WEAVE,BLACK,FABRIC,DISC,EUROPE
MONZA,5700,1350,1350BKPL,BKPL,28,BELGIAN LINEN BASKET WEAVE,BLACK,FABRIC,DISC,EUROPE
SCULPTURAL,5700,1350,1350BLBK,BLBK,294,BELGIAN LINEN,BLACK,FABRIC,DISC,EUROPE
BURANO,5700,1350,1350BLBK,BLBK,294,BELGIAN LINEN,BLACK,FABRIC,DISC,EUROPE
LUGANO,5700,1350,1350BLBK,BLBK,294,BELGIAN LINEN,BLACK,FABRIC,DISC,EUROPE
COSTERA,5700,1350,1350BLBK,BLBK,294,BELGIAN LINEN,BLACK,FABRIC,DISC,EUROPE
MIRA,5700,1350,1350BLBK,BLBK,294,BELGIAN LINEN,BLACK,FABRIC,DISC,EUROPE
MONZA,5700,1350,1350BLBK,BLBK,294,BELGIAN LINEN,BLACK,FABRIC,DISC,EUROPE
SCULPTURAL,5700,1350,1350BLCG,BLCG,2153,BELGIAN LINEN,CARBON,FABRIC,DISC,EUROPE
BURANO,5700,1350,1350BLCG,BLCG,2153,BELGIAN LINEN,CARBON,FABRIC,DISC,EUROPE
LUGANO,5700,1350,1350BLCG,BLCG,2153,BELGIAN LINEN,CARBON,FABRIC,DISC,EUROPE
COSTERA,5700,1350,1350BLCG,BLCG,2153,BELGIAN LINEN,CARBON,FABRIC,DISC,EUROPE
MIRA,5700,1350,1350BLCG,BLCG,2153,BELGIAN LINEN,CARBON,FABRIC,DISC,EUROPE
MONZA,5700,1350,1350BLCG,BLCG,2153,BELGIAN LINEN,CARBON,FABRIC,DISC,EUROPE
SCULPTURAL,5700,1350,1350BLCH,BLCH,3,BELGIAN LINEN,CHARCOAL,FABRIC,DISC,EUROPE
BURANO,5700,1350,1350BLCH,BLCH,3,BELGIAN LINEN,CHARCOAL,FABRIC,DISC,EUROPE
LUGANO,5700,1350,1350BLCH,BLCH,3,BELGIAN LINEN,CHARCOAL,FABRIC,DISC,EUROPE
COSTERA,5700,1350,1350BLCH,BLCH,3,BELGIAN LINEN,CHARCOAL,FABRIC,DISC,EUROPE
MIRA,5700,1350,1350BLCH,BLCH,3,BELGIAN LINEN,CHARCOAL,FABRIC,DISC,EUROPE
MONZA,5700,1350,1350BLCH,BLCH,3,BELGIAN LINEN,CHARCOAL,FABRIC,DISC,EUROPE
SCULPTURAL,5700,1350,1350BLDV,BLDV,42,BELGIAN LINEN,DOVE,FABRIC,DISC,EUROPE
BURANO,5700,1350,1350BLDV,BLDV,42,BELGIAN LINEN,DOVE,FABRIC,DISC,EUROPE
LUGANO,5700,1350,1350BLDV,BLDV,42,BELGIAN LINEN,DOVE,FABRIC,DISC,EUROPE
COSTERA,5700,1350,1350BLDV,BLDV,42,BELGIAN LINEN,DOVE,FABRIC,DISC,EUROPE
MIRA,5700,1350,1350BLDV,BLDV,42,BELGIAN LINEN,DOVE,FABRIC,DISC,EUROPE
MONZA,5700,1350,1350BLDV,BLDV,42,BELGIAN LINEN,DOVE,FABRIC,DISC,EUROPE
SCULPTURAL,5700,1350,1350BLFG,BLFG,30,BELGIAN LINEN,FOG,FABRIC,DISC,EUROPE
BURANO,5700,1350,1350BLFG,BLFG,30,BELGIAN LINEN,FOG,FABRIC,DISC,EUROPE
LUGANO,5700,1350,1350BLFG,BLFG,30,BELGIAN LINEN,FOG,FABRIC,DISC,EUROPE
